geoid,geoid20,year,denom_total_pop,severe_collision_count,pedestrian_collision_count,bicycle_collision_count,pedestrian_collision_rate,bicycle_collision_rate,severe_collision_rate
1400000US06037121222,6037121222,2022,4872,4,0,0,0,0,82.101807
1400000US06037121600,6037121600,2022,2635,4,0,1,0,37.950665,151.80266
1400000US06037121802,6037121802,2022,3026,3,2,0,66.093857,0,99.140778
1400000US06037121900,6037121900,2022,3314,8,1,0,30.175014,0,241.40012
1400000US06037122000,6037122000,2022,5034,11,0,0,0,0,218.5141
1400000US06037122120,6037122120,2022,4692,1,0,0,0,0,21.312874
1400000US06037122122,6037122122,2022,2507,5,0,2,0,79.776627,199.44156
1400000US06037122200,6037122200,2022,3884,4,1,1,25.746653,25.746653,102.98661
1400000US06037122410,6037122410,2022,3949,1,0,0,0,0,25.322866
1400000US06037122420,6037122420,2022,5113,11,2,0,39.115978,0,215.13788
1400000US06037123010,6037123010,2022,3948,2,1,0,25.329281,0,50.658562
1400000US06037123020,6037123020,2022,2634,2,0,0,0,0,75.930145
1400000US06037123103,6037123103,2022,3917,6,3,0,76.589226,0,153.17845
1400000US06037123104,6037123104,2022,4393,3,1,0,22.763487,0,68.290459
1400000US06037123203,6037123203,2022,2982,1,1,0,33.534542,0,33.534542
1400000US06037123204,6037123204,2022,3399,1,1,0,29.420418,0,29.420418
1400000US06037123205,6037123205,2022,2959,9,4,1,135.1808,33.7952,304.1568
1400000US06037123206,6037123206,2022,2371,3,0,0,0,0,126.52889
1400000US06037123301,6037123301,2022,4068,9,2,0,49.164207,0,221.23894
1400000US06037123303,6037123303,2022,3029,6,1,0,33.014194,0,198.08517
1400000US06037123304,6037123304,2022,4499,10,2,0,44.454323,0,222.27162
1400000US06037123410,6037123410,2022,3503,1,0,0,0,0,28.546959
1400000US06037123420,6037123420,2022,4401,4,0,0,0,0,90.888435
1400000US06037123510,6037123510,2022,4911,4,1,0,20.362452,0,81.449806
1400000US06037123520,6037123520,2022,2619,5,1,0,38.182514,0,190.91257
1400000US06037123601,6037123601,2022,5145,16,2,2,38.872692,38.872692,310.98154
1400000US06037123700,6037123700,2022,4214,5,0,1,0,23.730423,118.65211
1400000US06037123800,6037123800,2022,5696,6,0,0,0,0,105.33708
1400000US06037123901,6037123901,2022,3986,11,2,0,50.175613,0,275.96588
1400000US06037123902,6037123902,2022,2668,6,0,0,0,0,224.88756
1400000US06037124000,6037124000,2022,4432,3,0,0,0,0,67.689529
1400000US06037124102,6037124102,2022,3650,7,1,1,27.397261,27.397261,191.78082
1400000US06037124103,6037124103,2022,1811,7,2,0,110.43623,0,386.52679
1400000US06037124105,6037124105,2022,2250,2,0,0,0,0,88.888885
1400000US06037124201,6037124201,2022,3837,2,0,0,0,0,52.124054
1400000US06037124203,6037124203,2022,2003,1,0,0,0,0,49.925114
1400000US06037124300,6037124300,2022,2964,3,1,0,33.738194,0,101.21458
1400000US06037124400,6037124400,2022,4582,5,1,0,21.824532,0,109.12265
1400000US06037124500,6037124500,2022,2695,2,0,0,0,0,74.211502
